id,gid,x,y,v_x,v_y,radius,time
20,1,3.817267,-4.406787,0.033171,-1.265632,0.200000,12.250000
22,1,6.276815,-8.966144,-0.192729,-0.776918,0.200000,12.250000
24,1,5.587590,-5.768614,0.373478,-1.222572,0.200000,12.250000
26,1,7.174414,-6.245075,0.210334,-1.190328,0.200000,12.250000
27,1,4.682376,-7.022949,0.490412,-1.024948,0.200000,12.250000
28,1,4.769448,-5.003176,0.500617,-1.078559,0.200000,12.250000
29,1,3.222908,-5.837737,0.742664,-1.068081,0.200000,12.250000
32,1,5.893475,-8.218339,0.239993,-1.036170,0.200000,12.250000
33,1,7.375228,-7.496171,0.068220,-1.264806,0.200000,12.250000
34,1,5.525592,-5.006229,0.450261,-1.132141,0.200000,12.250000
36,1,6.176299,-6.650201,0.292404,-1.216646,0.200000,12.250000
38,1,7.511817,-8.466258,-0.015738,-1.095698,0.200000,12.250000
39,1,7.099628,-4.943145,0.193938,-1.256590,0.200000,12.250000
0,0,-1.496098,-2.367958,-1.059786,0.623304,0.200000,12.300000
1,0,1.724761,-0.790238,-1.235808,0.190317,0.200000,12.300000
4,0,-1.508448,-0.979109,-1.242445,0.348643,0.200000,12.300000
6,0,2.343612,-3.466889,-1.174850,0.540341,0.200000,12.300000
7,0,-0.794581,-1.307924,-1.244626,0.493857,0.200000,12.300000
8,0,1.289700,-2.689262,-1.225229,0.426121,0.200000,12.300000
11,0,1.398024,-0.352443,-1.333461,0.125191,0.200000,12.300000
12,0,2.409801,-1.729706,-1.250060,0.285089,0.200000,12.300000
15,0,-0.150381,0.222351,-1.279170,-0.057448,0.200000,12.300000
18,0,-3.284335,-0.421113,-1.096646,0.234547,0.200000,12.300000
20,1,3.818747,-4.470188,0.029598,-1.268029,0.200000,12.300000
22,1,6.272093,-9.006480,-0.094441,-0.806721,0.200000,12.300000
24,1,5.607732,-5.827852,0.402845,-1.184763,0.200000,12.300000
26,1,7.184187,-6.305556,0.195467,-1.209608,0.200000,12.300000
27,1,4.706130,-7.076451,0.475092,-1.070041,0.200000,12.300000
28,1,4.794625,-5.057646,0.503547,-1.089413,0.200000,12.300000
29,1,3.260312,-5.891453,0.748067,-1.074313,0.200000,12.300000
32,1,5.907704,-8.270488,0.284580,-1.042988,0.200000,12.300000
33,1,7.379172,-7.555424,0.078885,-1.185051,0.200000,12.300000
34,1,5.548079,-5.062571,0.449739,-1.126837,0.200000,12.300000
36,1,6.191009,-6.711262,0.294205,-1.221220,0.200000,12.300000
38,1,7.507213,-8.525822,-0.092069,-1.191282,0.200000,12.300000
39,1,7.108646,-5.005460,0.180369,-1.246309,0.200000,12.300000
0,0,-1.549174,-2.336269,-1.061518,0.633765,0.200000,12.350000
1,0,1.663523,-0.780501,-1.224757,0.194736,0.200000,12.350000
4,0,-1.570616,-0.961665,-1.243372,0.348879,0.200000,12.350000
6,0,2.284865,-3.439798,-1.174923,0.541806,0.200000,12.350000
7,0,-0.856432,-1.283743,-1.237017,0.483625,0.200000,12.350000
8,0,1.227759,-2.667945,-1.238821,0.426339,0.200000,12.350000
11,0,1.331833,-0.346677,-1.323812,0.115315,0.200000,12.350000
12,0,2.347219,-1.715400,-1.251651,0.286132,0.200000,12.350000
15,0,-0.214304,0.219592,-1.278449,-0.055174,0.200000,12.350000
18,0,-3.335413,-0.400987,-1.021563,0.402511,0.200000,12.350000
20,1,3.820291,-4.533746,0.030897,-1.271157,0.200000,12.350000
22,1,6.271684,-9.048026,-0.008166,-0.830916,0.200000,12.350000
24,1,5.628328,-5.888151,0.411914,-1.205987,0.200000,12.350000
26,1,7.192659,-6.366480,0.169447,-1.218486,0.200000,12.350000
27,1,4.731197,-7.130027,0.501327,-1.071524,0.200000,12.350000
28,1,4.819933,-5.112606,0.506166,-1.099189,0.200000,12.350000
29,1,3.296929,-5.943935,0.732340,-1.049645,0.200000,12.350000
32,1,5.921039,-8.323097,0.266699,-1.052178,0.200000,12.350000
33,1,7.384017,-7.615321,0.096892,-1.197937,0.200000,12.350000
34,1,5.570151,-5.119514,0.441441,-1.138873,0.200000,12.350000
36,1,6.206452,-6.772203,0.308857,-1.218833,0.200000,12.350000
38,1,7.511172,-8.566517,0.079183,-0.813899,0.200000,12.350000
39,1,7.117958,-5.067582,0.186232,-1.242425,0.200000,12.350000
0,0,-1.601694,-2.307226,-1.050398,0.580869,0.200000,12.400000
1,0,1.601953,-0.770982,-1.231399,0.190386,0.200000,12.400000
4,0,-1.632827,-0.944211,-1.244206,0.349092,0.200000,12.400000
6,0,2.226116,-3.412642,-1.174985,0.543132,0.200000,12.400000
7,0,-0.918510,-1.256985,-1.241552,0.535151,0.200000,12.400000
8,0,1.166037,-2.646200,-1.234435,0.434897,0.200000,12.400000
11,0,1.265949,-0.341396,-1.317683,0.105620,0.200000,12.400000
12,0,2.284565,-1.701046,-1.253081,0.287076,0.200000,12.400000
15,0,-0.278189,0.216964,-1.277709,-0.052572,0.200000,12.400000
18,0,-3.382876,-0.382890,-0.949257,0.361940,0.200000,12.400000
20,1,3.821895,-4.597444,0.032079,-1.273971,0.200000,12.400000
22,1,6.273182,-9.104730,0.029944,-1.134077,0.200000,12.400000
24,1,5.649871,-5.946025,0.430853,-1.157471,0.200000,12.400000
26,1,7.201925,-6.425384,0.185304,-1.178079,0.200000,12.400000
27,1,4.753820,-7.183604,0.452467,-1.071547,0.200000,12.400000
28,1,4.844945,-5.167461,0.500242,-1.097110,0.200000,12.400000
29,1,3.333248,-5.996676,0.726380,-1.054820,0.200000,12.400000
32,1,5.938642,-8.361761,0.352070,-0.773281,0.200000,12.400000
33,1,7.383673,-7.661600,-0.006877,-0.925581,0.200000,12.400000
34,1,5.593276,-5.176839,0.462489,-1.146492,0.200000,12.400000
36,1,6.218513,-6.832006,0.241207,-1.196043,0.200000,12.400000
38,1,7.520647,-8.629388,0.189483,-1.257433,0.200000,12.400000
39,1,7.126183,-5.129989,0.164501,-1.248146,0.200000,12.400000
0,0,-1.657914,-2.276862,-1.124396,0.607280,0.200000,12.450000
1,0,1.540084,-0.761661,-1.237381,0.186427,0.200000,12.450000
4,0,-1.695075,-0.926747,-1.244958,0.349283,0.200000,12.450000
6,0,2.167364,-3.385425,-1.175037,0.544334,0.200000,12.450000
7,0,-0.980591,-1.230990,-1.241638,0.519899,0.200000,12.450000
8,0,1.104514,-2.624066,-1.230455,0.442676,0.200000,12.450000
11,0,1.200163,-0.336290,-1.315722,0.102130,0.200000,12.450000
12,0,2.221846,-1.686650,-1.254367,0.287930,0.200000,12.450000
15,0,-0.338472,0.213906,-1.205661,-0.061157,0.200000,12.450000
18,0,-3.431918,-0.365105,-0.980834,0.355698,0.200000,12.450000
20,1,3.823553,-4.661270,0.033154,-1.276503,0.200000,12.450000
22,1,6.249679,-9.170647,-0.470056,-1.318351,0.200000,12.450000
24,1,5.671017,-6.004525,0.422927,-1.170007,0.200000,12.450000
26,1,7.210642,-6.485001,0.174346,-1.192337,0.200000,12.450000
27,1,4.775646,-7.238384,0.436529,-1.095588,0.200000,12.450000
28,1,4.870282,-5.222484,0.506731,-1.100458,0.200000,12.450000
29,1,3.369446,-6.048252,0.723966,-1.031526,0.200000,12.450000
32,1,5.952542,-8.417126,0.277998,-1.107305,0.200000,12.450000
33,1,7.394325,-7.704865,0.213035,-0.865304,0.200000,12.450000
34,1,5.616807,-5.234273,0.470616,-1.148692,0.200000,12.450000
36,1,6.225037,-6.885356,0.130476,-1.067017,0.200000,12.450000
38,1,7.526865,-8.692049,0.124371,-1.253217,0.200000,12.450000
39,1,7.134709,-5.188649,0.170508,-1.173204,0.200000,12.450000
0,0,-1.713884,-2.245875,-1.119393,0.619746,0.200000,12.500000
1,0,1.479042,-0.752243,-1.220850,0.188347,0.200000,12.500000
4,0,-1.757356,-0.909274,-1.245634,0.349455,0.200000,12.500000
6,0,2.108610,-3.358154,-1.175080,0.545423,0.200000,12.500000
7,0,-1.042465,-1.205487,-1.237466,0.510064,0.200000,12.500000
8,0,1.042076,-2.601855,-1.248763,0.444223,0.200000,12.500000
11,0,1.134465,-0.331342,-1.313959,0.098958,0.200000,12.500000
12,0,2.159070,-1.672214,-1.255524,0.288702,0.200000,12.500000
15,0,-0.399220,0.210856,-1.214958,-0.061001,0.200000,12.500000
18,0,-3.481704,-0.348360,-0.995727,0.334916,0.200000,12.500000
20,1,3.825260,-4.725209,0.034133,-1.278782,0.200000,12.500000
22,1,6.232887,-9.234793,-0.335835,-1.282918,0.200000,12.500000
24,1,5.692100,-6.063343,0.421665,-1.176361,0.200000,12.500000
26,1,7.214305,-6.541042,0.073262,-1.120832,0.200000,12.500000
27,1,4.798647,-7.292752,0.460005,-1.087360,0.200000,12.500000
28,1,4.896188,-5.276289,0.518118,-1.076096,0.200000,12.500000
29,1,3.403288,-6.099971,0.676844,-1.034384,0.200000,12.500000
